filename,group,phone,case,freq_hz,freq_location,incl_degree,incl_location,incl_detectable,damping_present,damping_location,rail2_speed,rail3_speed,freq_defect,speed_defect
G1_P1_case11.xls,1,1,1,35,3,0,0,0,0,0,70,100,1,0
G1_P2_case11.xls,1,2,1,35,3,0,0,0,0,0,70,100,1,0
G1_P3_case11.xls,1,3,1,35,3,0,0,0,0,0,70,100,1,0
G1_P4_case11.xls,1,4,1,35,3,0,0,0,0,0,70,100,1,0
G1_P5_case11.xls,1,5,1,35,3,0,0,0,0,0,70,100,1,0
G1_P1_case12.xls,1,1,2,0,0,1,4,1,0,0,70,100,0,0
G1_P2_case12.xls,1,2,2,0,0,1,4,1,0,0,70,100,0,0
G1_P3_case12.xls,1,3,2,0,0,1,4,1,0,0,70,100,0,0
G1_P4_case12.xls,1,4,2,0,0,1,4,1,0,0,70,100,0,0
G1_P5_case12.xls,1,5,2,0,0,1,4,1,0,0,70,100,0,0
G1_P1_case13.xls,1,1,3,0,0,0,0,0,1,4,70,100,0,0
G1_P2_case13.xls,1,2,3,0,0,0,0,0,1,4,70,100,0,0
G1_P3_case13.xls,1,3,3,0,0,0,0,0,1,4,70,100,0,0
G1_P4_case13.xls,1,4,3,0,0,0,0,0,1,4,70,100,0,0
G1_P5_case13.xls,1,5,3,0,0,0,0,0,1,4,70,100,0,0
G1_P1_case14.xls,1,1,4,0,0,0,0,0,0,0,100,70,0,1
G1_P2_case14.xls,1,2,4,0,0,0,0,0,0,0,100,70,0,1
G1_P3_case14.xls,1,3,4,0,0,0,0,0,0,0,100,70,0,1
G1_P4_case14.xls,1,4,4,0,0,0,0,0,0,0,100,70,0,1
G1_P5_case14.xls,1,5,4,0,0,0,0,0,0,0,100,70,0,1
G1_P1_case15.xls,1,1,5,30,6,4,4,1,0,0,70,100,1,0
G1_P2_case15.xls,1,2,5,30,6,4,4,1,0,0,70,100,1,0
G1_P3_case15.xls,1,3,5,30,6,4,4,1,0,0,70,100,1,0
G1_P4_case15.xls,1,4,5,30,6,4,4,1,0,0,70,100,1,0
G1_P5_case15.xls,1,5,5,30,6,4,4,1,0,0,70,100,1,0
G1_P1_case16.xls,1,1,6,30,6,0,0,0,1,4,70,100,1,0
G1_P2_case16.xls,1,2,6,30,6,0,0,0,1,4,70,100,1,0
G1_P3_case16.xls,1,3,6,30,6,0,0,0,1,4,70,100,1,0
G1_P4_case16.xls,1,4,6,30,6,0,0,0,1,4,70,100,1,0
G1_P5_case16.xls,1,5,6,30,6,0,0,0,1,4,70,100,1,0
G2_P1_case21.xls,2,1,1,40,5,0,0,0,0,0,70,100,1,0
G2_P2_case21.xls,2,2,1,40,5,0,0,0,0,0,70,100,1,0
G2_P3_case21.xls,2,3,1,40,5,0,0,0,0,0,70,100,1,0
G2_P4_case21.xls,2,4,1,40,5,0,0,0,0,0,70,100,1,0
G2_P5_case21.xls,2,5,1,40,5,0,0,0,0,0,70,100,1,0
G2_P1_case22.xls,2,1,2,0,0,0,5,0,0,0,70,100,0,0
G2_P2_case22.xls,2,2,2,0,0,0,5,0,0,0,70,100,0,0
G2_P3_case22.xls,2,3,2,0,0,0,5,0,0,0,70,100,0,0
G2_P4_case22.xls,2,4,2,0,0,0,5,0,0,0,70,100,0,0
G2_P5_case22.xls,2,5,2,0,0,0,5,0,0,0,70,100,0,0
G2_P1_case23.xls,2,1,3,0,0,0,0,0,1,5,70,100,0,0
G2_P2_case23.xls,2,2,3,0,0,0,0,0,1,5,70,100,0,0
G2_P3_case23.xls,2,3,3,0,0,0,0,0,1,5,70,100,0,0
G2_P4_case23.xls,2,4,3,0,0,0,0,0,1,5,70,100,0,0
G2_P5_case23.xls,2,5,3,0,0,0,0,0,1,5,70,100,0,0
G2_P1_case24.xls,2,1,4,0,0,0,0,0,0,0,80,100,0,1
G2_P2_case24.xls,2,2,4,0,0,0,0,0,0,0,80,100,0,1
G2_P3_case24.xls,2,3,4,0,0,0,0,0,0,0,80,100,0,1
G2_P4_case24.xls,2,4,4,0,0,0,0,0,0,0,80,100,0,1
G2_P5_case24.xls,2,5,4,0,0,0,0,0,0,0,80,100,0,1
G2_P1_case25.xls,2,1,5,35,6,0,5,0,0,0,70,100,1,0
G2_P2_case25.xls,2,2,5,35,6,0,5,0,0,0,70,100,1,0
G2_P3_case25.xls,2,3,5,35,6,0,5,0,0,0,70,100,1,0
G2_P4_case25.xls,2,4,5,35,6,0,5,0,0,0,70,100,1,0
G2_P5_case25.xls,2,5,5,35,6,0,5,0,0,0,70,100,1,0
G2_P1_case26.xls,2,1,6,35,6,0,0,0,1,5,70,100,1,0
G2_P2_case26.xls,2,2,6,35,6,0,0,0,1,5,70,100,1,0
G2_P3_case26.xls,2,3,6,35,6,0,0,0,1,5,70,100,1,0
G2_P4_case26.xls,2,4,6,35,6,0,0,0,1,5,70,100,1,0
G2_P5_case26.xls,2,5,6,35,6,0,0,0,1,5,70,100,1,0
G3_P1_case31.xls,3,1,1,45,2,0,0,0,0,0,70,100,1,0
G3_P2_case31.xls,3,2,1,45,2,0,0,0,0,0,70,100,1,0
G3_P3_case31.xls,3,3,1,45,2,0,0,0,0,0,70,100,1,0
G3_P4_case31.xls,3,4,1,45,2,0,0,0,0,0,70,100,1,0
G3_P5_case31.xls,3,5,1,45,2,0,0,0,0,0,70,100,1,0
G3_P1_case32.xls,3,1,2,0,0,3,4,1,0,0,70,100,0,0
G3_P2_case32.xls,3,2,2,0,0,3,4,1,0,0,70,100,0,0
G3_P3_case32.xls,3,3,2,0,0,3,4,1,0,0,70,100,0,0
G3_P4_case32.xls,3,4,2,0,0,3,4,1,0,0,70,100,0,0
G3_P5_case32.xls,3,5,2,0,0,3,4,1,0,0,70,100,0,0
G3_P1_case33.xls,3,1,3,0,0,0,0,0,1,6,70,100,0,0
G3_P2_case33.xls,3,2,3,0,0,0,0,0,1,6,70,100,0,0
G3_P3_case33.xls,3,3,3,0,0,0,0,0,1,6,70,100,0,0
G3_P4_case33.xls,3,4,3,0,0,0,0,0,1,6,70,100,0,0
G3_P5_case33.xls,3,5,3,0,0,0,0,0,1,6,70,100,0,0
G3_P1_case34.xls,3,1,4,0,0,0,0,0,0,0,60,30,0,1
G3_P2_case34.xls,3,2,4,0,0,0,0,0,0,0,60,30,0,1
